".id","variable","essround_cntry","respondent_count","n_nonzero","pop_size","Y_est","Z_est","estim","var","se","rse","cv","absolute_margin_of_error","relative_margin_of_error","CI_lower","CI_upper","confidence_level","S2_y_HT","S2_y_ca","S2_res","var_srs_HT","var_cur_HT","var_srs_ca","deff_sam","deff_est","deff","n_eff","weight"
1,"R__y_vote__z_vote","ESS_7_AT",1795,1289,3108565.96054471,2211411.84242941,3094358.56535535,0.71465920827293,0.000132095303158382,0.0114932720823263,0.0160821716830619,1.60821716830619,0.0225263993458793,3.15204772919912,0.69213280892705,0.737185607618809,0.95,2.12116350250751e-14,2.12116350250751e-14,2.12116350250751e-14,0.000114124533981104,0.000132095303158382,0.000114124533981104,1.15746630939368,1,1.15746630939368,1550.80107769209,"weight0"
1,"R__y_clsprty__z_clsprty","ESS_7_AT",1795,953,3108565.96054471,1650140.0876099,3034389.21911989,0.543812928549923,0.000199356586535337,0.0141193691975009,0.0259636512047446,2.59636512047446,0.0276734551115259,5.08878212684593,0.516139473438397,0.571486383661449,0.95,2.63149859022657e-14,2.63149859022657e-14,2.63149859022657e-14,0.000141581990226836,0.000199356586535337,0.000141581990226836,1.40806458657585,1,1.40806458657585,1274.79947803041,"weight0"
1,"R__y_crmvct__z_crmvct","ESS_7_AT",1795,134,3108565.96054471,250232.338209147,3099036.17621388,0.0807452136666757,3.72215447505697e-05,0.00610094621764277,0.0755579921161407,7.55579921161407,0.0119576348581957,14.8090943291797,0.06878757880848,0.0927028485248714,0.95,7.70917614878432e-15,7.70917614878432e-15,7.70917614878432e-15,4.14775256277134e-05,3.72215447505697e-05,4.14775256277134e-05,0.897390675727771,1,0.897390675727771,2000.243649227,"weight0"
1,"R__y_rlgblg__z_rlgblg","ESS_7_AT",1795,1303,3108565.96054471,2201302.36731222,3098986.3711734,0.710329799378473,0.00012348768788353,0.0111125014233308,0.0156441436541929,1.56441436541929,0.0217801025678785,3.06619581311889,0.688549696810594,0.732109901946351,0.95,2.13710625437487e-14,2.13710625437487e-14,2.13710625437487e-14,0.000114982298658409,0.00012348768788353,0.000114982298658409,1.07397129231508,1,1.07397129231508,1671.36683526303,"weight0"
1,"R__y_rlgblge__z_rlgblge","ESS_7_AT",1795,256,3108565.96054471,466099.490089881,896786.289389229,0.519744219559073,0.000515020744712495,0.0226940684918438,0.0436639170534621,4.36639170534621,0.044479556906699,8.55797048487301,0.475264662652374,0.564223776465771,0.95,8.95891128392515e-14,8.95891128392515e-14,8.95891128392515e-14,0.000482014504797655,0.000515020744712495,0.000482014504797655,1.0684756155392,1,1.0684756155392,1679.96346748088,"weight0"
1,"R__y_dscrgrp__z_dscrgrp","ESS_7_AT",1795,75,3108565.96054471,155443.120982496,3078579.18377842,0.0504918378586959,3.76333853777399e-05,0.006134605560078,0.121496974961498,12.1496974961498,0.012023605957112,23.8129695155101,0.0384682319015839,0.0625154438158079,0.95,5.01246646305429e-15,5.01246646305429e-15,5.01246646305429e-15,2.69684726573764e-05,3.76333853777399e-05,2.69684726573764e-05,1.3954585361899,1,1.3954585361899,1286.31553962254,"weight0"
1,"R__y_dscrrce__z_dscrrce","ESS_7_AT",1795,5,3108565.96054471,11165.4464602127,3108565.96054471,0.00359183192569482,2.45351169024292e-06,0.00156636895086787,0.436091939509355,43.6091939509355,0.00307002673020282,85.4724495386555,0.000521805195491995,0.00666185865589763,0.95,3.70574153634147e-16,3.70574153634147e-16,3.70574153634147e-16,1.9937926774124e-06,2.45351169024292e-06,1.9937926774124e-06,1.23057513353252,1,1.23057513353252,1458.66753771241,"weight0"
1,"R__y_dscrntn__z_dscrntn","ESS_7_AT",1795,25,3108565.96054471,52942.4002065642,3108565.96054471,0.0170311329656608,1.51745575727009e-05,0.00389545344891976,0.228725443972166,22.8725443972166,0.00763494846333507,44.8293632533379,0.00939618450232576,0.0246660814289959,0.95,1.73342534620093e-15,1.73342534620093e-15,1.73342534620093e-15,9.32631358178459e-06,1.51745575727009e-05,9.32631358178459e-06,1.62706919938212,1,1.62706919938212,1103.2106075646,"weight0"
1,"R__y_dscrrlg__z_dscrrlg","ESS_7_AT",1795,28,3108565.96054471,61368.3711562672,3108565.96054471,0.0197416982413054,2.17153141836469e-05,0.00465996933290841,0.236047034857336,23.6047034857336,0.00913337206156163,46.2643686977849,0.0106083261797437,0.028875070302867,0.95,2.0037654238742e-15,2.0037654238742e-15,2.0037654238742e-15,1.07808188730743e-05,2.17153141836469e-05,1.07808188730743e-05,2.01425461639858,1,2.01425461639858,891.148509918473,"weight0"
1,"R__y_dscrlng__z_dscrlng","ESS_7_AT",1795,17,3108565.96054471,38901.6077498148,3108565.96054471,0.0125143259765342,8.03563079371569e-06,0.00283471882092664,0.22651789846629,22.651789846629,0.00555594679531405,44.3966922847629,0.00695837918122019,0.0180702727718483,0.95,1.27955838544266e-15,1.27955838544266e-15,1.27955838544266e-15,6.88438228677949e-06,8.03563079371569e-06,6.88438228677949e-06,1.16722611542753,1,1.16722611542753,1537.83399486614,"weight0"
